classifier,layer,layer_label,full_panel,loo_panel,loo_panel_label,mean_delta_ba,sd_delta_ba,ci95_low,ci95_high,positive_frequency,n_repeats
RF,mutations,Mutations,Mutations+CNV+mRNA+RPPA,cnv+mrna+rppa,CNV+mRNA+RPPA,-0.0456844953609,0.0159644532377,-0.0553467377819,-0.0367695283562,0.0,10
RF,cnv,CNV,Mutations+CNV+mRNA+RPPA,mutations+mrna+rppa,Mutations+mRNA+RPPA,-0.00264926367461,0.0120336508052,-0.00937452350128,0.00469367200705,0.3,10
RF,mrna,mRNA,Mutations+CNV+mRNA+RPPA,mutations+cnv+rppa,Mutations+CNV+RPPA,0.0882222187758,0.0079996130583,0.0837806991045,0.0931664783148,1.0,10
RF,rppa,RPPA,Mutations+CNV+mRNA+RPPA,mutations+cnv+mrna,Mutations+CNV+mRNA,0.00224720169382,0.00875919257343,-0.00336490901572,0.00681930673931,0.8,10
XGB,mutations,Mutations,Mutations+CNV+mRNA+RPPA,cnv+mrna+rppa,CNV+mRNA+RPPA,-0.00197143569964,0.00990067299224,-0.00778839321034,0.00378747123027,0.4,10
XGB,cnv,CNV,Mutations+CNV+mRNA+RPPA,mutations+mrna+rppa,Mutations+mRNA+RPPA,0.021513603589,0.015423637157,0.012623116931,0.0305348594778,0.9,10
XGB,mrna,mRNA,Mutations+CNV+mRNA+RPPA,mutations+cnv+rppa,Mutations+CNV+RPPA,0.106680602456,0.0166641252212,0.0971225527745,0.116570412576,1.0,10
XGB,rppa,RPPA,Mutations+CNV+mRNA+RPPA,mutations+cnv+mrna,Mutations+CNV+mRNA,0.00527935771568,0.0120036020962,-0.00145722210235,0.0125899436293,0.6,10
SVM,mutations,Mutations,Mutations+CNV+mRNA+RPPA,cnv+mrna+rppa,CNV+mRNA+RPPA,0.000307506203474,0.000744778916074,-0.000138058312655,0.000744044665012,0.5,10
SVM,cnv,CNV,Mutations+CNV+mRNA+RPPA,mutations+mrna+rppa,Mutations+mRNA+RPPA,-0.0128625633833,0.0106152610094,-0.0197216294458,-0.00740919417773,0.0,10
SVM,mrna,mRNA,Mutations+CNV+mRNA+RPPA,mutations+cnv+rppa,Mutations+CNV+RPPA,0.159464683803,0.0103878039152,0.153725003147,0.165797314076,1.0,10
SVM,rppa,RPPA,Mutations+CNV+mRNA+RPPA,mutations+cnv+mrna,Mutations+CNV+mRNA,-0.00555723738627,0.00843510198888,-0.0106158912324,-0.000906782464847,0.3,10
