classifier,component,spearman_rho_imin_vs_broja,p_value,n_pairs
RF,redundancy,0.942857142857143,0.004804664723032055,6
RF,unique_a,0.942857142857143,0.004804664723032055,6
RF,unique_b,1.0,0.0,6
RF,synergy,0.48571428571428577,0.3287230320699709,6
XGB,redundancy,1.0,0.0,6
XGB,unique_a,0.942857142857143,0.004804664723032055,6
XGB,unique_b,1.0,0.0,6
XGB,synergy,0.942857142857143,0.004804664723032055,6
SVM,redundancy,1.0,0.0,6
SVM,unique_a,0.942857142857143,0.004804664723032055,6
SVM,unique_b,1.0,0.0,6
SVM,synergy,1.0,0.0,6
