classifier,repeat,panel,panel_label,panel_size,panel_score,best_constituent_single,best_constituent_single_score,integration_gain,gain_positive
RF,0,mutations+cnv,Mutations+CNV,2,0.42394276620994714,cnv,0.4198383860179091,0.004104380192038015,True
RF,0,mutations+mrna,Mutations+mRNA,2,0.5654077390585105,mrna,0.6177285485669076,-0.052320809508397126,False
RF,0,mutations+rppa,Mutations+RPPA,2,0.47895190060056814,rppa,0.5252281889452297,-0.046276288344661576,False
RF,0,cnv+mrna,CNV+mRNA,2,0.6261584358255117,mrna,0.6177285485669076,0.008429887258604052,True
RF,0,cnv+rppa,CNV+RPPA,2,0.5470253083755889,rppa,0.5252281889452297,0.021797119430359224,True
RF,0,mrna+rppa,mRNA+RPPA,2,0.6053758675872982,mrna,0.6177285485669076,-0.012352680979609398,False
RF,0,mutations+cnv+mrna,Mutations+CNV+mRNA,3,0.5938809337576869,mrna,0.6177285485669076,-0.023847614809220707,False
RF,0,mutations+cnv+rppa,Mutations+CNV+RPPA,3,0.5049874536987089,rppa,0.5252281889452297,-0.020240735246520813,False
RF,0,mutations+mrna+rppa,Mutations+mRNA+RPPA,3,0.5737316503038803,mrna,0.6177285485669076,-0.04399689826302733,False
RF,0,cnv+mrna+rppa,CNV+mRNA+RPPA,3,0.6195425342539649,mrna,0.6177285485669076,0.0018139856870572624,True
RF,0,mutations+cnv+mrna+rppa,Mutations+CNV+mRNA+RPPA,4,0.5889215665120293,mrna,0.6177285485669076,-0.028806982054878305,False
RF,1,mutations+cnv,Mutations+CNV,2,0.4313139542201604,cnv,0.41967023591182073,0.011643718308339657,True
RF,1,mutations+mrna,Mutations+mRNA,2,0.5675013845434603,mrna,0.6362150807350667,-0.06871369619160639,False
RF,1,mutations+rppa,Mutations+RPPA,2,0.490287315244363,rppa,0.5404147831481282,-0.05012746790376521,False
RF,1,cnv+mrna,CNV+mRNA,2,0.6314698097601323,mrna,0.6362150807350667,-0.004745270974934379,False
RF,1,cnv+rppa,CNV+RPPA,2,0.5512623080519294,rppa,0.5404147831481282,0.010847524903801253,True
RF,1,mrna+rppa,mRNA+RPPA,2,0.6193290043873845,mrna,0.6362150807350667,-0.016886076347682244,False
RF,1,mutations+cnv+mrna,Mutations+CNV+mRNA,3,0.570929527636926,mrna,0.6362150807350667,-0.06528555309814077,False
RF,1,mutations+cnv+rppa,Mutations+CNV+RPPA,3,0.4925677527241342,rppa,0.5404147831481282,-0.047847030423993964,False
RF,1,mutations+mrna+rppa,Mutations+mRNA+RPPA,3,0.588878038803179,mrna,0.6362150807350667,-0.0473370419318877,False
RF,1,cnv+mrna+rppa,CNV+mRNA+RPPA,3,0.6434059274643076,mrna,0.6362150807350667,0.007190846729240863,True
RF,1,mutations+cnv+mrna+rppa,Mutations+CNV+mRNA+RPPA,4,0.5727381369798972,mrna,0.6362150807350667,-0.06347694375516955,False
RF,2,mutations+cnv,Mutations+CNV,2,0.41622875984464347,cnv,0.45884708436724575,-0.04261832452260228,False
RF,2,mutations+mrna,Mutations+mRNA,2,0.5911689952170317,mrna,0.6134701469054555,-0.022301151688423837,False
RF,2,mutations+rppa,Mutations+RPPA,2,0.49802171665407996,rppa,0.5393475024274463,-0.041325785773366375,False
RF,2,cnv+mrna,CNV+mRNA,2,0.6222378268061999,mrna,0.6134701469054555,0.00876767990074434,True
RF,2,cnv+rppa,CNV+RPPA,2,0.5284366391556083,rppa,0.5393475024274463,-0.01091086327183799,False
RF,2,mrna+rppa,mRNA+RPPA,2,0.6130905212716222,mrna,0.6134701469054555,-0.0003796256338333137,False
RF,2,mutations+cnv+mrna,Mutations+CNV+mRNA,3,0.5691769698277411,mrna,0.6134701469054555,-0.04429317707771441,False
RF,2,mutations+cnv+rppa,Mutations+CNV+RPPA,3,0.487997149998202,rppa,0.5393475024274463,-0.05135035242924435,False
RF,2,mutations+mrna+rppa,Mutations+mRNA+RPPA,3,0.5834353310317546,mrna,0.6134701469054555,-0.030034815873700937,False
RF,2,cnv+mrna+rppa,CNV+mRNA+RPPA,3,0.6106163690797282,mrna,0.6134701469054555,-0.002853777825727377,False
RF,2,mutations+cnv+mrna+rppa,Mutations+CNV+mRNA+RPPA,4,0.5773456773474306,mrna,0.6134701469054555,-0.03612446955802495,False
RF,3,mutations+cnv,Mutations+CNV,2,0.4274915893480059,cnv,0.40099166576761247,0.026499923580393436,True
RF,3,mutations+mrna,Mutations+mRNA,2,0.5525549277160426,mrna,0.6294175207681519,-0.0768625930521093,False
RF,3,mutations+rppa,Mutations+RPPA,2,0.47996337702736724,rppa,0.5346527268313734,-0.05468934980400619,False
RF,3,cnv+mrna,CNV+mRNA,2,0.6428724421908153,mrna,0.6294175207681519,0.013454921422663357,True
RF,3,cnv+rppa,CNV+RPPA,2,0.5549378933362104,rppa,0.5346527268313734,0.020285166504836916,True
RF,3,mrna+rppa,mRNA+RPPA,2,0.6156803412809724,mrna,0.6294175207681519,-0.013737179487179563,False
RF,3,mutations+cnv+mrna,Mutations+CNV+mRNA,3,0.5905958571582696,mrna,0.6294175207681519,-0.03882166360988237,False
RF,3,mutations+cnv+rppa,Mutations+CNV+RPPA,3,0.5099075457618585,rppa,0.5346527268313734,-0.024745181069514954,False
RF,3,mutations+mrna+rppa,Mutations+mRNA+RPPA,3,0.5802231452511958,mrna,0.6294175207681519,-0.04919437551695616,False
RF,3,cnv+mrna+rppa,CNV+mRNA+RPPA,3,0.6292543694033876,mrna,0.6294175207681519,-0.00016315136476430236,False
RF,3,mutations+cnv+mrna+rppa,Mutations+CNV+mRNA+RPPA,4,0.5932052585679866,mrna,0.6294175207681519,-0.03621226220016538,False
RF,4,mutations+cnv,Mutations+CNV,2,0.4345271064839788,cnv,0.45461151868234617,-0.020084412198367374,False
RF,4,mutations+mrna,Mutations+mRNA,2,0.5780148119178625,mrna,0.6357991108354011,-0.05778429891753856,False
RF,4,mutations+rppa,Mutations+RPPA,2,0.48036731308663283,rppa,0.534121421764304,-0.053754108677671164,False
RF,4,cnv+mrna,CNV+mRNA,2,0.6570181968569065,mrna,0.6357991108354011,0.021219086021505462,True
RF,4,cnv+rppa,CNV+RPPA,2,0.5523307125903549,rppa,0.534121421764304,0.01820929082605094,True
RF,4,mrna+rppa,mRNA+RPPA,2,0.6195430107526881,mrna,0.6357991108354011,-0.016256100082712943,False
RF,4,mutations+cnv+mrna,Mutations+CNV+mRNA,3,0.5682926241593844,mrna,0.6357991108354011,-0.06750648667601666,False
RF,4,mutations+cnv+rppa,Mutations+CNV+RPPA,3,0.4940645970439098,rppa,0.534121421764304,-0.04005682472039418,False
RF,4,mutations+mrna+rppa,Mutations+mRNA+RPPA,3,0.579868720106448,mrna,0.6357991108354011,-0.05593039072895312,False
RF,4,cnv+mrna+rppa,CNV+mRNA+RPPA,3,0.609205348473406,mrna,0.6357991108354011,-0.026593762361995066,False
RF,4,mutations+cnv+mrna+rppa,Mutations+CNV+mRNA+RPPA,4,0.5710231731218758,mrna,0.6357991108354011,-0.0647759377135253,False
RF,5,mutations+cnv,Mutations+CNV,2,0.41872260581867876,cnv,0.42089689196964797,-0.002174286150969207,False
RF,5,mutations+mrna,Mutations+mRNA,2,0.5809091595641386,mrna,0.6055419139065703,-0.02463275434243173,False
RF,5,mutations+rppa,Mutations+RPPA,2,0.48148538587406053,rppa,0.5366056838206207,-0.05512029794656015,False
RF,5,cnv+mrna,CNV+mRNA,2,0.6315563886791096,mrna,0.6055419139065703,0.026014474772539264,True
RF,5,cnv+rppa,CNV+RPPA,2,0.5388964334520085,rppa,0.5366056838206207,0.0022907496313878672,True
RF,5,mrna+rppa,mRNA+RPPA,2,0.6365814992627755,mrna,0.6055419139065703,0.031039585356205213,True
RF,5,mutations+cnv+mrna,Mutations+CNV+mRNA,3,0.5967276944654224,mrna,0.6055419139065703,-0.008814219441147908,False
RF,5,mutations+cnv+rppa,Mutations+CNV+RPPA,3,0.4878559535368792,rppa,0.5366056838206207,-0.048749730283741466,False
RF,5,mutations+mrna+rppa,Mutations+mRNA+RPPA,3,0.5923783354910634,mrna,0.6055419139065703,-0.01316357841550686,False
RF,5,cnv+mrna+rppa,CNV+mRNA+RPPA,3,0.6337428030711691,mrna,0.6055419139065703,0.02820088916459884,True
