classifier,panel,panel_label,panel_size,mean_gain,sd_gain,ci95_low,ci95_high,positive_gain_frequency,n_repeats,p_signflip_two_sided,q_bh,significant_gain,gain_direction
RF,cnv+mrna,CNV+mRNA,2,0.0114002903945,0.0112927822517,0.00486229636422,0.0180511822563,0.8,10,0.01171875,0.0184151785714,True,positive
RF,cnv+mrna+rppa,CNV+mRNA+RPPA,3,0.00534583333333,0.017272615939,-0.00484649998202,0.0155671485597,0.6,10,0.333984375,0.3673828125,False,positive
RF,cnv+rppa,CNV+RPPA,2,0.00656445319524,0.0113156761456,6.41663969504e-05,0.0131504913331,0.7,10,0.103515625,0.142333984375,False,positive
RF,mrna+rppa,mRNA+RPPA,2,-0.00533088565829,0.0177715310161,-0.0155000427051,0.00543606151329,0.3,10,0.376953125,0.376953125,False,negative
RF,mutations+cnv,Mutations+CNV,2,-0.012003135901,0.0293798614384,-0.0299687340418,0.00457256850793,0.5,10,0.228515625,0.279296875,False,negative
RF,mutations+cnv+mrna,Mutations+CNV+mRNA,3,-0.0425858637214,0.0174490532035,-0.05251999047,-0.0320808380084,0.0,10,0.001953125,0.00358072916667,True,negative
RF,mutations+cnv+mrna+rppa,Mutations+CNV+mRNA+RPPA,4,-0.0403386620275,0.0137424469574,-0.0489408449311,-0.0329574509116,0.0,10,0.001953125,0.00358072916667,True,negative
RF,mutations+cnv+rppa,Mutations+CNV+RPPA,3,-0.040192393552,0.014862041951,-0.0490870999209,-0.0317062313446,0.0,10,0.001953125,0.00358072916667,True,negative
RF,mutations+mrna,Mutations+mRNA,2,-0.0510296161938,0.0172011270889,-0.0607452525443,-0.040630913529,0.0,10,0.001953125,0.00358072916667,True,negative
RF,mutations+mrna+rppa,Mutations+mRNA+RPPA,3,-0.0376893983529,0.0143349037214,-0.0457945755565,-0.0292139901823,0.0,10,0.001953125,0.00358072916667,True,negative
RF,mutations+rppa,Mutations+RPPA,2,-0.0507750319164,0.00879318204202,-0.0558521635739,-0.0455886584313,0.0,10,0.001953125,0.00358072916667,True,negative
SVM,cnv+mrna,CNV+mRNA,2,-0.00566964568274,0.0116727054165,-0.0122464770561,0.00143215467328,0.3,10,0.154296875,0.38671875,False,negative
SVM,cnv+mrna+rppa,CNV+mRNA+RPPA,3,-0.0111047676844,0.00940563364673,-0.01660481938,-0.00574954148236,0.1,10,0.005859375,0.021484375,True,negative
SVM,cnv+rppa,CNV+RPPA,2,0.00330345731291,0.00921120002247,-0.00197205110224,0.00883859280037,0.5,10,0.294921875,0.5234375,False,positive
SVM,mrna+rppa,mRNA+RPPA,2,0.00179864422627,0.00662150021063,-0.00214516129032,0.00548670253893,0.5,10,0.40625,0.5234375,False,positive
SVM,mutations+cnv,Mutations+CNV,2,0.000557246376812,0.00187303363693,-0.000402243589744,0.00175865384615,0.6,10,0.4296875,0.5234375,False,positive
SVM,mutations+cnv+mrna,Mutations+CNV+mRNA,3,-0.00524002409465,0.0115583053991,-0.0116984725069,0.00178434656741,0.3,10,0.17578125,0.38671875,False,negative
SVM,mutations+cnv+mrna+rppa,Mutations+CNV+mRNA+RPPA,4,-0.0107972614809,0.00962292536489,-0.0165325412666,-0.00539039630309,0.1,10,0.005859375,0.021484375,True,negative
SVM,mutations+cnv+rppa,Mutations+CNV+RPPA,3,0.00252436032294,0.00988385808806,-0.00289568903514,0.00856684198223,0.5,10,0.453125,0.5234375,False,positive
SVM,mutations+mrna,Mutations+mRNA,2,-0.00100902605459,0.00320434761783,-0.00309053970223,0.000186538461538,0.2,10,0.5,0.5234375,False,negative
SVM,mutations+mrna+rppa,Mutations+mRNA+RPPA,3,0.0020653019024,0.00902335205529,-0.00290961538462,0.00765298800662,0.5,10,0.5234375,0.5234375,False,positive
SVM,mutations+rppa,Mutations+RPPA,2,0.00899012748588,0.00858691288236,0.00428978629482,0.0142958656993,0.9,10,0.005859375,0.021484375,True,positive
XGB,cnv+mrna,CNV+mRNA,2,0.00766875112382,0.011024041325,0.00107452934513,0.0138919107599,0.7,10,0.052734375,0.116015625,False,positive
XGB,cnv+mrna+rppa,CNV+mRNA+RPPA,3,0.000538766317834,0.0166154676243,-0.00946496610566,0.00985892895674,0.7,10,0.935546875,0.935546875,False,positive
XGB,cnv+rppa,CNV+RPPA,2,0.0491682845147,0.0177097360753,0.0392604793757,0.0600080424893,1.0,10,0.001953125,0.00537109375,True,positive
XGB,mrna+rppa,mRNA+RPPA,2,-0.00382131432733,0.00895842125095,-0.00950870194555,0.000888776656957,0.3,10,0.220703125,0.346819196429,False,negative
XGB,mutations+cnv,Mutations+CNV,2,0.00885664985435,0.0308309568038,-0.00818653756248,0.0280849741072,0.6,10,0.4296875,0.5908203125,False,positive
