regime,classifier,best_panel,candidate_panel,candidate_panel_label,candidate_panel_size,mean_difference,ci95_low,ci95_high,margin,noninferior
k50,RF,cnv+mrna,cnv,CNV,1,-0.203840833693,-0.218138832848,-0.189632148829,0.03,False
k50,RF,cnv+mrna,cnv+mrna,CNV+mRNA,2,0,0,0,0.03,True
k50,RF,cnv+mrna,cnv+mrna+rppa,CNV+mRNA+RPPA,3,-0.00605445706117,-0.0171717759917,0.00261327183803,0.03,True
k50,RF,cnv+mrna,cnv+rppa,CNV+RPPA,2,-0.0932043244507,-0.101750403675,-0.0850722016938,0.03,False
k50,RF,cnv+mrna,mrna,mRNA,1,-0.0114002903945,-0.0180511822563,-0.00486229636422,0.03,True
k50,RF,cnv+mrna,mrna+rppa,mRNA+RPPA,2,-0.0167311760528,-0.0244095182868,-0.00902720852663,0.03,True
k50,RF,cnv+mrna,mutations,Mutations,1,-0.279099490686,-0.286600746215,-0.271793742133,0.03,False
k50,RF,cnv+mrna,mutations+cnv,Mutations+CNV,2,-0.215843969594,-0.223628235696,-0.209160443863,0.03,False
k50,RF,cnv+mrna,mutations+cnv+mrna,Mutations+CNV+mRNA,3,-0.0539861541159,-0.0639431379689,-0.0450012096774,0.03,False
k50,RF,cnv+mrna,mutations+cnv+mrna+rppa,Mutations+CNV+mRNA+RPPA,4,-0.0517389524221,-0.061141630255,-0.0438188585608,0.03,False
k50,RF,cnv+mrna,mutations+cnv+rppa,Mutations+CNV+RPPA,3,-0.139961171198,-0.149063619772,-0.131964172241,0.03,False
k50,RF,cnv+mrna,mutations+mrna,Mutations+mRNA,2,-0.0624299065883,-0.0722774076671,-0.0525832097134,0.03,False
k50,RF,cnv+mrna,mutations+mrna+rppa,Mutations+mRNA+RPPA,3,-0.0490896887474,-0.0577519689287,-0.0413745805912,0.03,False
k50,RF,cnv+mrna,mutations+rppa,Mutations+RPPA,2,-0.150543809562,-0.159092624609,-0.142241432463,0.03,False
k50,RF,cnv+mrna,rppa,RPPA,1,-0.0997687776459,-0.109161515985,-0.090204520894,0.03,False
k50,SVM,mutations+mrna+rppa,cnv,CNV,1,-0.182321157892,-0.189292365681,-0.175468690438,0.03,False
k50,SVM,mutations+mrna+rppa,cnv+mrna,CNV+mRNA,2,-0.00773494758514,-0.0171401157982,0.000753016326824,0.03,True
k50,SVM,mutations+mrna+rppa,cnv+mrna+rppa,CNV+mRNA+RPPA,3,-0.0131700695868,-0.0200300054842,-0.00775673076923,0.03,True
k50,SVM,mutations+mrna+rppa,cnv+rppa,CNV+RPPA,2,-0.171548150196,-0.176029859388,-0.16706392545,0.03,False
k50,SVM,mutations+mrna+rppa,mrna,mRNA,1,-0.0020653019024,-0.00765298800662,0.00290961538462,0.03,True
k50,SVM,mutations+mrna+rppa,mrna+rppa,mRNA+RPPA,2,-0.000266657676125,-0.00325974080268,0.00260238698889,0.03,True
k50,SVM,mutations+mrna+rppa,mutations,Mutations,1,-0.442029886809,-0.450106525335,-0.433185041986,0.03,False
k50,SVM,mutations+mrna+rppa,mutations+cnv,Mutations+CNV,2,-0.181763911515,-0.188951899252,-0.174922866095,0.03,False
k50,SVM,mutations+mrna+rppa,mutations+cnv+mrna,Mutations+CNV+mRNA,3,-0.00730532599705,-0.0165056375193,0.00108945139713,0.03,True
k50,SVM,mutations+mrna+rppa,mutations+cnv+mrna+rppa,Mutations+CNV+mRNA+RPPA,4,-0.0128625633833,-0.0197216294458,-0.00740919417773,0.03,True
k50,SVM,mutations+mrna+rppa,mutations+cnv+rppa,Mutations+CNV+RPPA,3,-0.172327247186,-0.177257980455,-0.166924541033,0.03,False
k50,SVM,mutations+mrna+rppa,mutations+mrna,Mutations+mRNA,2,-0.00307432795699,-0.00857712985939,0.00209724979322,0.03,True
k50,SVM,mutations+mrna+rppa,mutations+mrna+rppa,Mutations+mRNA+RPPA,3,0,0,0,0.03,True
k50,SVM,mutations+mrna+rppa,mutations+rppa,Mutations+RPPA,2,-0.169359977703,-0.177373249991,-0.162466732298,0.03,False
k50,SVM,mutations+mrna+rppa,rppa,RPPA,1,-0.178350105189,-0.187349452026,-0.170445754217,0.03,False
k50,XGB,cnv+mrna,cnv,CNV,1,-0.248514074693,-0.265734513791,-0.230612182634,0.03,False
k50,XGB,cnv+mrna,cnv+mrna,CNV+mRNA,2,0,0,0,0.03,True
k50,XGB,cnv+mrna,cnv+mrna+rppa,CNV+mRNA+RPPA,3,-0.00712998480598,-0.0137555651455,-0.000213267792283,0.03,True
