classifier,top_n,n_pam50_in_top_n,fraction_of_pam50_covered,pam50_genes_found
RF,10,3,0.06,"['MYBL2', 'UBE2C', 'UBE2T']"
RF,20,4,0.08,"['MYBL2', 'RRM2', 'UBE2C', 'UBE2T']"
RF,30,4,0.08,"['MYBL2', 'RRM2', 'UBE2C', 'UBE2T']"
RF,50,8,0.16,"['BIRC5', 'CDC20', 'EXO1', 'KIF2C', 'MYBL2', 'RRM2', 'UBE2C', 'UBE2T']"
RF,100,14,0.28,"['ANLN', 'BCL2', 'BIRC5', 'CCNB1', 'CDC20', 'CEP55', 'EXO1', 'KIF2C', 'MELK', 'MYBL2', 'PTTG1', 'RRM2', 'UBE2C', 'UBE2T']"
XGB,10,3,0.06,"['MYBL2', 'UBE2C', 'UBE2T']"
XGB,20,6,0.12,"['EXO1', 'KIF2C', 'MYBL2', 'RRM2', 'UBE2C', 'UBE2T']"
XGB,30,7,0.14,"['CDC20', 'EXO1', 'KIF2C', 'MYBL2', 'RRM2', 'UBE2C', 'UBE2T']"
XGB,50,12,0.24,"['ANLN', 'BIRC5', 'CCNB1', 'CDC20', 'CEP55', 'EXO1', 'KIF2C', 'MYBL2', 'PTTG1', 'RRM2', 'UBE2C', 'UBE2T']"
XGB,100,17,0.34,"['ANLN', 'BCL2', 'BIRC5', 'CCNB1', 'CDC20', 'CEP55', 'EXO1', 'KIF2C', 'MELK', 'MKI67', 'MYBL2', 'NDC80', 'NUF2', 'PTTG1', 'RRM2', 'UBE2C', 'UBE2T']"
SVM,10,1,0.02,['FOXA1']
SVM,20,1,0.02,['FOXA1']
SVM,30,1,0.02,['FOXA1']
SVM,50,3,0.06,"['CDC20', 'FOXA1', 'KIF2C']"
SVM,100,14,0.28,"['BCL2', 'BIRC5', 'CDC20', 'CEP55', 'CXXC5', 'ESR1', 'EXO1', 'FOXA1', 'FOXC1', 'KIF2C', 'MELK', 'MLPH', 'MYBL2', 'UBE2C']"
