classifier,layer,layer_label,mean_performance_shapley,sd_performance_shapley,ci95_low,ci95_high,positive_frequency
RF,cnv,CNV,0.06659824455922371,0.006446567209464241,0.06285983731614342,0.0704566869618786,1.0
RF,mrna,mRNA,0.19935012170946165,0.005826276429767025,0.19596547511736404,0.202865210972432,1.0
RF,mutations,Mutations,0.007205383049531883,0.007133081839768883,0.0029596688193395497,0.011338161132613479,0.7
RF,rppa,RPPA,0.11101591569418971,0.004627016820447961,0.10826915981418798,0.11365628947784431,1.0
SVM,cnv,CNV,0.12727440681153426,0.006033523387260947,0.12387297716083931,0.1308495528329197,1.0
SVM,mrna,mRNA,0.30313062054968176,0.004112471714151035,0.300686750260913,0.30551340834442164,1.0
SVM,mutations,Mutations,0.04623631905485428,0.0032133835982482034,0.044391549401904186,0.04819267619495539,1.0
SVM,rppa,RPPA,0.1343452369981779,0.005712645785906461,0.1306108874105066,0.13730925528437835,1.0
XGB,cnv,CNV,0.10421463319338056,0.012246687152327082,0.09740167323350835,0.11173999792093717,1.0
XGB,mrna,mRNA,0.26224941760018455,0.01276475070603646,0.2539422378067649,0.26882288145371064,1.0
XGB,mutations,Mutations,0.03406313596846117,0.006529344254871645,0.03033881611700741,0.03780966604631928,1.0
XGB,rppa,RPPA,0.14203085662632906,0.00602148347450419,0.13856517095515516,0.14559923474192646,1.0
