estimator,classifier,pair,pair_label,n_bootstrap_requested,redundancy_mean,redundancy_sd,redundancy_ci95_low,redundancy_ci95_high,unique_a_mean,unique_a_sd,unique_a_ci95_low,unique_a_ci95_high,unique_b_mean,unique_b_sd,unique_b_ci95_low,unique_b_ci95_high,synergy_mean,synergy_sd,synergy_ci95_low,synergy_ci95_high,mi_a_mean,mi_a_sd,mi_a_ci95_low,mi_a_ci95_high,mi_b_mean,mi_b_sd,mi_b_ci95_low,mi_b_ci95_high,mi_joint_mean,mi_joint_sd,mi_joint_ci95_low,mi_joint_ci95_high,n_valid_bootstrap,n_failed_bootstrap,solver_valid_rate,median_max_numerical_error,median_solver_seconds
I_min,RF,mutations+cnv,Mutations+CNV,1000,0.24233027694438,0.02218997284360686,0.19954427338311198,0.28642430076937575,0.07799539548864833,0.030401477904925686,0.020842559347312828,0.13684147966466784,0.08868026956490578,0.01843770780799611,0.05469822262053993,0.12580452078905804,0.14774614487385912,0.017142830777638948,0.11470128202389505,0.1819820489908635,0.3203256724330283,0.028107518335776446,0.2664942507194885,0.37333463712018505,0.33101054650928574,0.029326377306213233,0.2762361974735759,0.3881446001720567,0.5567520868717932,0.03363211351552171,0.49095313405405916,0.6246563803711328,1000,0,,,
I_min,RF,mutations+mrna,Mutations+mRNA,1000,0.32032567243302834,0.028107518335776443,0.2664942507194887,0.3733346371201853,2.2842838731662595e-17,4.961083687813269e-17,0.0,1.6653345369377348e-16,0.6619500274650002,0.04540344703929291,0.5714436634894791,0.7512340318250551,0.06064415683498772,0.013180782835005072,0.037364676412830276,0.08746910794199515,0.3203256724330283,0.028107518335776446,0.2664942507194885,0.37333463712018505,0.9822756998980284,0.0377837159969485,0.9102809694736859,1.0564496331527533,1.0429198567330158,0.03434368920425537,0.9807351167292631,1.110259042573559,1000,0,,,
I_min,RF,mutations+rppa,Mutations+RPPA,1000,0.3202821835476538,0.028079152617554018,0.2664942507194887,0.3733346371201853,4.348888537453774e-05,0.0003606746580445617,0.0,5.427784060087819e-06,0.3764691003270358,0.043829702240668345,0.29109151906699937,0.4640888812226249,0.12868245452581936,0.020662651792394363,0.08996165533793288,0.17001173280396692,0.3203256724330283,0.028107518335776446,0.2664942507194885,0.37333463712018505,0.6967512838746895,0.03782272134391406,0.6268737837714979,0.7695145937557171,0.8254772272858834,0.036039179697111755,0.757856148844786,0.8973675990394315,1000,0,,,
I_min,RF,cnv+mrna,CNV+mRNA,1000,0.32728990058613733,0.02886324282481464,0.27242463702872016,0.38367403101110376,0.0037206459231484464,0.0038698488424044625,0.0,0.012864287598165321,0.6549857993118912,0.04525482631818009,0.5698364806491467,0.7418338394961488,0.08988866256058267,0.015509156850405192,0.06283732410642949,0.12268442242279112,0.33101054650928574,0.029326377306213233,0.2762361974735759,0.3881446001720567,0.9822756998980284,0.0377837159969485,0.9102809694736859,1.0564496331527533,1.0758850083817595,0.03426435790874671,1.0077539788464105,1.146477273843422,1000,0,,,
I_min,RF,cnv+rppa,CNV+RPPA,1000,0.32063833228236294,0.028615620703674977,0.2665061738396186,0.3782755886388556,0.010372214226922808,0.005791801194460666,4.848239242648408e-05,0.02362919771321,0.37611295159232655,0.04119979857486812,0.29737638101040403,0.45743640118939716,0.12538665415910116,0.01742104943924688,0.09189785400442961,0.1596337391382372,0.33101054650928574,0.029326377306213233,0.2762361974735759,0.3881446001720567,0.6967512838746895,0.03782272134391406,0.6268737837714979,0.7695145937557171,0.8325101522607136,0.03790960467129053,0.7615442540530689,0.9059585450949701,1000,0,,,
I_min,RF,mrna+rppa,mRNA+RPPA,1000,0.695084319795727,0.03716488688283011,0.6268529236664834,0.7681256846824394,0.28719138010230133,0.040868505198215305,0.20797413544792717,0.3686815331654667,0.0016669640789625899,0.005341983936688468,0.0,0.018717111283095642,0.13838057946383459,0.020943834632791536,0.0989523896260281,0.17998043340215011,0.9822756998980284,0.0377837159969485,0.9102809694736859,1.0564496331527533,0.6967512838746895,0.03782272134391406,0.6268737837714979,0.7695145937557171,1.1223232434408255,0.038086867711896635,1.0475845729125748,1.196113374046008,1000,0,,,
I_min,XGB,mutations+cnv,Mutations+CNV,1000,0.28330706341408085,0.02103429302711332,0.24228968035985918,0.3236102420522963,0.005983443141954291,0.009286991152398028,0.0,0.03068213457345278,0.13790037814164563,0.030816915907105197,0.08525255218198706,0.2061301398622731,0.1644672973206757,0.014809727378301685,0.13488767493950346,0.1925828596311716,0.2892905065560351,0.024122599267212167,0.24320825986292569,0.3353270484383791,0.42120744155572654,0.030346017848355583,0.36247412809803364,0.48185992918988474,0.5916581820183564,0.0312671923188394,0.5297169544882606,0.6542679828042534,1000,0,,,
I_min,XGB,mutations+mrna,Mutations+mRNA,1000,0.28929050655603517,0.024122599267212167,0.2432082598629257,0.33532704843837924,2.0844437287337314e-17,4.327939312726236e-17,0.0,1.6653345369377348e-16,0.8468319449122541,0.04226153540619675,0.7646337384398337,0.9302664969976063,0.04216017689581039,0.007369438893801071,0.028409831933833105,0.057880984550102085,0.2892905065560351,0.024122599267212167,0.24320825986292569,0.3353270484383791,1.1361224514682893,0.03802612942421063,1.0624263372764589,1.209561409765632,1.1782826283640997,0.03589860986866192,1.109382791891983,1.247587372077107,1000,0,,,
I_min,XGB,mutations+rppa,Mutations+RPPA,1000,0.28732763953259927,0.023897615698004162,0.24282383287302142,0.3349467267216504,0.001962867023435913,0.002535558030546398,0.0,0.008405549465569486,0.5152767094365692,0.04301506126353438,0.43299320064181107,0.5999176429682197,0.10332026309159571,0.014343757677357507,0.07717981597202524,0.13231942790534845,0.2892905065560351,0.024122599267212167,0.24320825986292569,0.3353270484383791,0.8026043489691685,0.03881181583678798,0.7249834373306956,0.8768022418933602,0.9078874790842002,0.03495688732887963,0.8411314427462672,0.9776440401146133,1000,0,,,
I_min,XGB,cnv+mrna,CNV+mRNA,1000,0.42119398291514554,0.030345589804745974,0.36247412809803387,0.48185992918988474,1.3458640581042902e-05,0.00023592760915273632,0.0,1.6792123247455366e-16,0.7149284685531438,0.04444255681302022,0.6276947611631292,0.8049322094645068,0.07787188051232337,0.01279145990620584,0.053529042982914866,0.10467602594081288,0.42120744155572654,0.030346017848355583,0.36247412809803364,0.48185992918988474,1.1361224514682893,0.03802612942421063,1.0624263372764589,1.209561409765632,1.2140077906211937,0.03460453596914205,1.148614658607132,1.2808313839284549,1000,0,,,
