estimator,classifier,pid_component,spearman_rpred_vs_pid,p_value,n_pairs
I_min,RF,redundancy,-0.6,0.20799999999999982,6
I_min,RF,synergy,-0.028571428571428574,0.9571545189504373,6
I_min,RF,unique_a,-0.48571428571428577,0.3287230320699709,6
I_min,RF,unique_b,0.2571428571428572,0.6227871720116618,6
I_min,SVM,redundancy,0.2,0.704,6
I_min,SVM,synergy,-0.6,0.20799999999999982,6
I_min,SVM,unique_a,-0.2571428571428572,0.6227871720116618,6
I_min,SVM,unique_b,0.4285714285714286,0.3965014577259474,6
I_min,XGB,redundancy,0.2,0.704,6
I_min,XGB,synergy,-0.48571428571428577,0.3287230320699709,6
I_min,XGB,unique_a,-0.3714285714285715,0.46847813411078715,6
I_min,XGB,unique_b,0.3142857142857143,0.5440932944606414,6
BROJA,RF,redundancy,-0.3714285714285715,0.46847813411078715,6
BROJA,RF,synergy,-0.3714285714285715,0.46847813411078715,6
BROJA,RF,unique_a,-0.2571428571428572,0.6227871720116618,6
BROJA,RF,unique_b,0.2571428571428572,0.6227871720116618,6
BROJA,SVM,redundancy,0.2,0.704,6
BROJA,SVM,synergy,-0.6,0.20799999999999982,6
BROJA,SVM,unique_a,-0.14285714285714288,0.7871720116618075,6
BROJA,SVM,unique_b,0.4285714285714286,0.3965014577259474,6
BROJA,XGB,redundancy,0.2,0.704,6
BROJA,XGB,synergy,-0.7142857142857143,0.1107871720116617,6
BROJA,XGB,unique_a,-0.3142857142857143,0.5440932944606414,6
BROJA,XGB,unique_b,0.3142857142857143,0.5440932944606414,6
