classifier,top_n,n_genes_shared,n_genes_used,spearman_rho,p_value
RF,100,2668,100,0.1787338733873387,0.07520307295625105
RF,150,2668,150,0.22040979599093297,0.006722441675767216
RF,200,2668,200,0.3016155403885098,1.423145116629274e-05
RF,300,2668,300,0.2635495949954999,3.6951522490088385e-06
RF,500,2668,500,0.27149062196248785,6.751129775499921e-10
RF,2668,2668,2668,0.45353911239214967,1.6323267949580884e-135
XGB,100,2668,100,0.3806420642064206,9.356841887620355e-05
XGB,150,2668,150,0.39046890972932136,7.821336595599172e-07
XGB,200,2668,200,0.3821990549763744,2.340888331389678e-08
XGB,300,2668,300,0.36447649418326866,7.419336057840945e-11
XGB,500,2668,500,0.3207007068028272,2.0103063394063036e-13
XGB,2668,2668,2668,0.49509211743594905,5.104582615764165e-165
SVM,100,2668,100,-0.1144074407440744,0.25703931771960215
SVM,150,2668,150,-0.009552424552202319,0.9076392474243367
SVM,200,2668,200,0.010822770569264232,0.8791063496059217
SVM,300,2668,300,0.0816017955755064,0.15858801446965262
SVM,500,2668,500,0.19807288829155315,8.110551218886515e-06
SVM,2668,2668,2668,0.6078229287596478,2.7053919260366457e-269
